SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe;Datum
Zagadou;Abwehr;VfB Stuttgart;1.060.000;0;1;Schlecht;Gering bis mittel;Abwehr;27.08.2025
Zehnter;Abwehr;VfL Wolfsburg;1.530.000;2;2;Durchschnittlich;Gering bis mittel;Abwehr;27.08.2025
Zesiger;Abwehr;FC Augsburg;1.340.000;0;3.3;Gut;Gering bis mittel;Abwehr;27.08.2025
Adeh;Mittelfeld;SV Werder Bremen;190;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Ahlstrand;Mittelfeld;FC St. Pauli;190;0;1.7;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Alvero;Mittelfeld;SV Werder Bremen;450;0;2.1;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Amiri;Mittelfeld;1. FSV Mainz 05;11.020.000;5;5;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Andrich;Mittelfeld;Bayer 04 Leverkusen;6.230.000;3;3;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Arnold;Mittelfeld;VfL Wolfsburg;8.030.000;8;8;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Avdullahu;Mittelfeld;TSG Hoffenheim;3.620.000;3;3;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Azhil;Mittelfeld;Borussia Dortmund;180;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
B. Dárdai;Mittelfeld;VfL Wolfsburg;1.070.000;0;2.5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
B. Touré;Mittelfeld;TSG Hoffenheim;4.110.000;3;3;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Banzuzi;Mittelfeld;RB Leipzig;2.750.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Baumgartner;Mittelfeld;RB Leipzig;2.840.000;2;2;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Beck;Mittelfeld;1.FC Heidenheim;2.260.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Bellingham;Mittelfeld;Borussia Dortmund;13.100.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Beste;Mittelfeld;Sport-Club Freiburg;2.880.000;0;1.8;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Bischof;Mittelfeld;FC Bayern München;4.040.000;0;5.8;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Bittencourt;Mittelfeld;SV Werder Bremen;2.310.000;0;0;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Brandt;Mittelfeld;Borussia Dortmund;7.830.000;10;10;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Breithaupt;Mittelfeld;FC Augsburg;240;0;3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Can;Mittelfeld;Borussia Dortmund;2.170.000;0;3.5;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Capaldo;Mittelfeld;Hamburger SV;3.210.000;3;3;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Castrop;Mittelfeld;Borussia Mönchengladbach;1.290.000;2;2;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Chandler;Mittelfeld;Eintracht Frankfurt;170;0;3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Chaïbi;Mittelfeld;Eintracht Frankfurt;5.520.000;8;8;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Christensen;Mittelfeld;1. FC Köln;260;0;1.8;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Claude-Maurice;Mittelfeld;FC Augsburg;4.850.000;0;5.5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Dahoud;Mittelfeld;Eintracht Frankfurt;290;0;3.4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Damar;Mittelfeld;TSG Hoffenheim;3.020.000;0;0.3;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Darvich;Mittelfeld;VfB Stuttgart;2.670.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Dills;Mittelfeld;Eintracht Frankfurt;210;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Dina Ebimbe;Mittelfeld;Eintracht Frankfurt;160;0;2.3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Doan;Mittelfeld;Eintracht Frankfurt;10.860.000;6;6;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Dorsch;Mittelfeld;1.FC Heidenheim;2.000.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Elmas;Mittelfeld;RB Leipzig;280;0;2;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
F. Becker;Mittelfeld;TSG Hoffenheim;370;0;2.9;Gut;Gering bis mittel;Mittelfeld;27.08.2025
F. Nmecha;Mittelfeld;Borussia Dortmund;4.690.000;1;1;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Fellhauer;Mittelfeld;FC Augsburg;1.880.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Fenyő;Mittelfeld;Eintracht Frankfurt;190;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Fraulo;Mittelfeld;Borussia Mönchengladbach;430;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Fujita;Mittelfeld;FC St. Pauli;2.840.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Führich;Mittelfeld;VfB Stuttgart;6.690.000;6;6;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
García;Mittelfeld;Bayer 04 Leverkusen;7.810.000;5;5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Gebel;Mittelfeld;RB Leipzig;200;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Geiger;Mittelfeld;TSG Hoffenheim;360;0;1.8;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Gerhardt;Mittelfeld;VfL Wolfsburg;580;0;1.9;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Gleiber;Mittelfeld;1. FSV Mainz 05;160;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Goretzka;Mittelfeld;FC Bayern München;9.130.000;5;5;Durchschnittlich;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Grifo;Mittelfeld;Sport-Club Freiburg;12.180.000;10;10;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Groß;Mittelfeld;Borussia Dortmund;7.000.000;4;4;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Götze;Mittelfeld;Eintracht Frankfurt;2.710.000;1;1;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Haberer;Mittelfeld;1.FC Union Berlin;1.720.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Haidara;Mittelfeld;RB Leipzig;890;0;2.7;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Hansen-Aarøen;Mittelfeld;SV Werder Bremen;300;0;-1.5;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Harchaoui;Mittelfeld;1. FC Köln;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Huseinbašić;Mittelfeld;1. FC Köln;430;0;1.6;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Höfler;Mittelfeld;Sport-Club Freiburg;580;0;2.5;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Højlund;Mittelfeld;Eintracht Frankfurt;1.200.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Ibrahimović;Mittelfeld;1.FC Heidenheim;2.650.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Irvine;Mittelfeld;FC St. Pauli;2.790.000;0;3.9;Gut;Gering bis mittel;Mittelfeld;27.08.2025
J. Hofmann;Mittelfeld;Bayer 04 Leverkusen;1.720.000;0;3.8;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Jakić;Mittelfeld;FC Augsburg;3.230.000;6;6;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Janeš;Mittelfeld;1.FC Heidenheim;210;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Jeong;Mittelfeld;1.FC Union Berlin;1.760.000;0;3.5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Jóhannesson;Mittelfeld;1. FC Köln;3.420.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Kainz;Mittelfeld;1. FC Köln;2.750.000;2;2;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Kamiński;Mittelfeld;1. FC Köln;4.380.000;8;8;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Kampl;Mittelfeld;RB Leipzig;830;0;3.3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Karazor;Mittelfeld;VfB Stuttgart;5.970.000;5;5;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Karl;Mittelfeld;FC Bayern München;5.910.000;4;4;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Kawasaki;Mittelfeld;1. FSV Mainz 05;1.380.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Keitel;Mittelfeld;VfB Stuttgart;500;0;2.6;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Kemlein;Mittelfeld;1.FC Union Berlin;600;0;2.4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Kerber;Mittelfeld;1.FC Heidenheim;550;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Khedira;Mittelfeld;1.FC Union Berlin;3.150.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Kimmich;Mittelfeld;FC Bayern München;16.050.000;9;9;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Knauff;Mittelfeld;Eintracht Frankfurt;5.490.000;11;11;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Kramarić;Mittelfeld;TSG Hoffenheim;8.890.000;3;3;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Krauß;Mittelfeld;1. FC Köln;2.630.000;5;5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Král;Mittelfeld;1.FC Union Berlin;880;2;2;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Kujović;Mittelfeld;1. FC Köln;190;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Kyereh;Mittelfeld;Sport-Club Freiburg;190;0;1.7;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Kömür;Mittelfeld;FC Augsburg;4.440.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Kücüksahin;Mittelfeld;FC Augsburg;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Larsson;Mittelfeld;Eintracht Frankfurt;5.520.000;4;4;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Lee;Mittelfeld;1. FSV Mainz 05;6.670.000;3;3;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Leweling;Mittelfeld;VfB Stuttgart;6.320.000;4;4;Durchschnittlich;Über dem Mittel;Mittelfeld;27.08.2025
Lynen;Mittelfeld;SV Werder Bremen;2.870.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
M. Eggestein;Mittelfeld;Sport-Club Freiburg;4.070.000;4;4;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Maier;Mittelfeld;FC Augsburg;640;0;2.1;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Maina;Mittelfeld;1. FC Köln;1.810.000;0;1.9;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Majer;Mittelfeld;VfL Wolfsburg;5.320.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Maksimović;Mittelfeld;RB Leipzig;2.740.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Maloney;Mittelfeld;1. FSV Mainz 05;400;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Maluze;Mittelfeld;Eintracht Frankfurt;190;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Manzambi;Mittelfeld;Sport-Club Freiburg;4.290.000;6;6;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Martel;Mittelfeld;1. FC Köln;4.640.000;6;6;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Masanka Bungi;Mittelfeld;RB Leipzig;160;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Massengo;Mittelfeld;FC Augsburg;3.360.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;5.720.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Meffert;Mittelfeld;Hamburger SV;770;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Metcalfe;Mittelfeld;FC St. Pauli;540;3;3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Musiala;Mittelfeld;FC Bayern München;5.990.000;0;8;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Nartey;Mittelfeld;VfB Stuttgart;330;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Nebel;Mittelfeld;1. FSV Mainz 05;7.590.000;-4;-4;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Neuhaus;Mittelfeld;Borussia Mönchengladbach;1.560.000;3;3;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Niehues;Mittelfeld;1.FC Heidenheim;210;0;1.8;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;1.060.000;0;2.5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Opitz;Mittelfeld;SV Werder Bremen;300;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Osterhage;Mittelfeld;Sport-Club Freiburg;2.270.000;0;2.7;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Ouédraogo;Mittelfeld;RB Leipzig;1.800.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
P. Schulz;Mittelfeld;1. FSV Mainz 05;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;3.940.000;0;4.5;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Paredes;Mittelfeld;VfL Wolfsburg;510;0;3.5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Pavlović;Mittelfeld;FC Bayern München;6.790.000;3;3;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Pherai;Mittelfeld;Hamburger SV;400;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Poller;Mittelfeld;TSG Hoffenheim;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Preu;Mittelfeld;1.FC Union Berlin;210;0;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Prömel;Mittelfeld;TSG Hoffenheim;1.460.000;0;1.5;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Reinheimer;Mittelfeld;FC Augsburg;180;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Reitz;Mittelfeld;Borussia Mönchengladbach;6.830.000;8;8;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Remberg;Mittelfeld;Hamburger SV;3.050.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Rexhbeçaj;Mittelfeld;FC Augsburg;1.570.000;3;3;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Rothweiler;Mittelfeld;1.FC Heidenheim;180;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Röhl;Mittelfeld;Sport-Club Freiburg;1.690.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Sabitzer;Mittelfeld;Borussia Dortmund;5.100.000;4;4;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Sakar;Mittelfeld;RB Leipzig;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Salifou;Mittelfeld;SV Werder Bremen;180;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Sander;Mittelfeld;Borussia Mönchengladbach;3.100.000;5;5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Sands;Mittelfeld;FC St. Pauli;1.390.000;2;2;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Sano;Mittelfeld;1. FSV Mainz 05;4.530.000;3;3;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Santos Daiber;Mittelfeld;FC Bayern München;310;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Schlager;Mittelfeld;RB Leipzig;4.490.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Schmid;Mittelfeld;SV Werder Bremen;4.930.000;1;1;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Schmitz;Mittelfeld;FC St. Pauli;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Schäfer;Mittelfeld;1.FC Union Berlin;2.050.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Schöppner;Mittelfeld;1.FC Heidenheim;2.690.000;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Seiwald;Mittelfeld;RB Leipzig;3.250.000;2;2;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Silas;Mittelfeld;VfB Stuttgart;550;0;3.2;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Skhiri;Mittelfeld;Eintracht Frankfurt;2.840.000;0;3.3;Gut;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Skov;Mittelfeld;1.FC Union Berlin;2.540.000;3;3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Stage;Mittelfeld;SV Werder Bremen;3.320.000;0;6;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Stiller;Mittelfeld;VfB Stuttgart;10.010.000;4;4;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Stöger;Mittelfeld;Borussia Mönchengladbach;7.230.000;3;3;Schlecht;Deutlich über dem Mittel;Mittelfeld;27.08.2025
Suzuki;Mittelfeld;Sport-Club Freiburg;3.790.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Svanberg;Mittelfeld;VfL Wolfsburg;3.270.000;11;11;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Swider;Mittelfeld;Borussia Mönchengladbach;160;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Tella;Mittelfeld;Bayer 04 Leverkusen;4.780.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;11.000.000;0;1.7;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Tohumcu;Mittelfeld;TSG Hoffenheim;1.220.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Tousart;Mittelfeld;1.FC Union Berlin;270;0;2.1;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Veratschnig;Mittelfeld;1. FSV Mainz 05;280;0;1.4;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Vermeeren;Mittelfeld;RB Leipzig;1.290.000;0;2;Durchschnittlich;Gering bis mittel;Mittelfeld;27.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;160;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;4.310.000;4;4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Weigl;Mittelfeld;Borussia Mönchengladbach;2.160.000;0;3.8;Gut;Über dem Mittel;Mittelfeld;27.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;1.380.000;0;3.3;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Xavi Simons;Mittelfeld;RB Leipzig;8.860.000;1;1;Schlecht;Über dem Mittel;Mittelfeld;27.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;170;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Özcan;Mittelfeld;Borussia Dortmund;830;0;2.4;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Öztunali;Mittelfeld;Hamburger SV;230;0;5;Gut;Gering bis mittel;Mittelfeld;27.08.2025
Čović;Mittelfeld;SV Werder Bremen;1.500.000;1;1;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Đurić;Mittelfeld;TSG Hoffenheim;240;0;0;Schlecht;Gering bis mittel;Mittelfeld;27.08.2025
Ache;Stürmer;1. FC Köln;4.330.000;1;1;Schlecht;Gering bis mittel;Sturm;27.08.2025
Adamu;Stürmer;Sport-Club Freiburg;1.680.000;0;2.1;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
Adeyemi;Stürmer;Borussia Dortmund;8.950.000;5;5;Schlecht;Gering bis mittel;Sturm;27.08.2025
Afolayan;Stürmer;FC St. Pauli;2.180.000;0;3;Gut;Gering bis mittel;Sturm;27.08.2025
Aigbekaen;Stürmer;FC St. Pauli;180;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Amoura;Stürmer;VfL Wolfsburg;8.660.000;9;9;Gut;Gering bis mittel;Sturm;27.08.2025
Ansah;Stürmer;1.FC Union Berlin;3.740.000;15;15;Gut;Gering bis mittel;Sturm;27.08.2025
Asllani;Stürmer;TSG Hoffenheim;8.360.000;11;11;Gut;Gering bis mittel;Sturm;27.08.2025
Awusi;Stürmer;Eintracht Frankfurt;180;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Bahoya;Stürmer;Eintracht Frankfurt;7.840.000;17;17;Gut;Gering bis mittel;Sturm;27.08.2025
Bakayoko;Stürmer;RB Leipzig;9.940.000;1;1;Schlecht;Gering bis mittel;Sturm;27.08.2025
Baldé;Stürmer;Hamburger SV;440;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Batshuayi;Stürmer;Eintracht Frankfurt;1.270.000;0;3.8;Gut;Gering bis mittel;Sturm;27.08.2025
Bebou;Stürmer;TSG Hoffenheim;650;0;0;Schlecht;Deutlich über dem Mittel;Sturm;27.08.2025
Beier;Stürmer;Borussia Dortmund;5.440.000;0;4;Schlecht;Über dem Mittel;Sturm;27.08.2025
Berisha;Stürmer;TSG Hoffenheim;440;0;2.7;Gut;Gering bis mittel;Sturm;27.08.2025
Bobzien;Stürmer;1. FSV Mainz 05;870;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Boniface;Stürmer;Bayer 04 Leverkusen;4.660.000;0;4.9;Gut;Über dem Mittel;Sturm;27.08.2025
Breunig;Stürmer;1.FC Heidenheim;370;0;2.7;Gut;Gering bis mittel;Sturm;27.08.2025
Burcu;Stürmer;1.FC Union Berlin;240;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Burkardt;Stürmer;Eintracht Frankfurt;11.130.000;0;0;Schlecht;Über dem Mittel;Sturm;27.08.2025
Burke;Stürmer;1.FC Union Berlin;2.900.000;1;1;Schlecht;Gering bis mittel;Sturm;27.08.2025
Bülter;Stürmer;1. FC Köln;5.980.000;11;11;Gut;Über dem Mittel;Sturm;27.08.2025
Campbell;Stürmer;Borussia Dortmund;980;0;1.5;Schlecht;Gering bis mittel;Sturm;27.08.2025
Ceesay;Stürmer;FC St. Pauli;890;3;3;Gut;Gering bis mittel;Sturm;27.08.2025
Conteh;Stürmer;1.FC Heidenheim;1.200.000;0;2;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
Demirović;Stürmer;VfB Stuttgart;5.880.000;2;2;Schlecht;Deutlich über dem Mittel;Sturm;27.08.2025
Diehl;Stürmer;VfB Stuttgart;450;0;2.4;Gut;Gering bis mittel;Sturm;27.08.2025
Dinkçi;Stürmer;Sport-Club Freiburg;3.730.000;-2;-2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Diomande;Stürmer;RB Leipzig;6.870.000;2;2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Dompé;Stürmer;Hamburger SV;4.770.000;4;4;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
Dong;Stürmer;FC Augsburg;250;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Duranville;Stürmer;Borussia Dortmund;620;0;1.3;Schlecht;Gering bis mittel;Sturm;27.08.2025
Essende;Stürmer;FC Augsburg;1.300.000;0;2.4;Gut;Gering bis mittel;Sturm;27.08.2025
G. Orban;Stürmer;TSG Hoffenheim;1.610.000;0;3.4;Gut;Gering bis mittel;Sturm;27.08.2025
Gaul Souza;Stürmer;Eintracht Frankfurt;200;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Glatzel;Stürmer;Hamburger SV;2.780.000;0;2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Gnabry;Stürmer;FC Bayern München;10.930.000;9;9;Gut;Deutlich über dem Mittel;Sturm;27.08.2025
Gomis;Stürmer;RB Leipzig;590;0;2.4;Gut;Gering bis mittel;Sturm;27.08.2025
Grüll;Stürmer;SV Werder Bremen;3.650.000;4;4;Gut;Gering bis mittel;Sturm;27.08.2025
Guirassy;Stürmer;Borussia Dortmund;17.340.000;7;7;Schlecht;Deutlich über dem Mittel;Sturm;27.08.2025
Hack;Stürmer;Borussia Mönchengladbach;7.080.000;6;6;Gut;Über dem Mittel;Sturm;27.08.2025
Hennrich;Stürmer;TSG Hoffenheim;190;0;1;Schlecht;Gering bis mittel;Sturm;27.08.2025
Hložek;Stürmer;TSG Hoffenheim;1.970.000;0;5;Gut;Gering bis mittel;Sturm;27.08.2025
Hollerbach;Stürmer;1. FSV Mainz 05;4.820.000;2;2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Honorat;Stürmer;Borussia Mönchengladbach;7.830.000;5;5;Schlecht;Über dem Mittel;Sturm;27.08.2025
Honsak;Stürmer;1.FC Heidenheim;2.750.000;2;2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Hountondji;Stürmer;FC St. Pauli;3.430.000;7;7;Gut;Gering bis mittel;Sturm;27.08.2025
Hämmerle;Stürmer;FC Augsburg;200;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Höler;Stürmer;Sport-Club Freiburg;4.870.000;3;3;Schlecht;Deutlich über dem Mittel;Sturm;27.08.2025
Ilić;Stürmer;1.FC Union Berlin;4.800.000;4;4;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
Irié;Stürmer;Sport-Club Freiburg;1.320.000;2;2;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
İnanoğlu;Stürmer;Eintracht Frankfurt;180;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Jatta;Stürmer;Hamburger SV;660;0;1;Schlecht;Gering bis mittel;Sturm;27.08.2025
Jones;Stürmer;FC St. Pauli;270;0;0;Schlecht;Gering bis mittel;Sturm;27.08.2025
Jovanović;Stürmer;VfB Stuttgart;1.730.000;2;2;Schlecht;Gering bis mittel;Sturm;27.08.2025
Kabadayi;Stürmer;FC Augsburg;160;0;3.2;Gut;Gering bis mittel;Sturm;27.08.2025
Kane;Stürmer;FC Bayern München;20.960.000;21;21;Gut;Über dem Mittel;Sturm;27.08.2025
Kastanaras;Stürmer;VfB Stuttgart;190;0;0.7;Schlecht;Gering bis mittel;Sturm;27.08.2025
Kaufmann;Stürmer;1.FC Heidenheim;860;2;2;Durchschnittlich;Gering bis mittel;Sturm;27.08.2025
